id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
94FF7,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.416,NA,NA,NA,NA,0DC56,FD3E9
950C9,M,2018,2017,1,MFWS,0,0,1.16,Fawn,0.279,59.1,56.8,90.5,NA,5,0DDE1
950C9,M,2019,2017,2,MFWS,0,0,NA,Fawn,0.279,NA,NA,NA,NA,5,0DDE1
950C9,M,2020,2017,3,MFWS,0,0,NA,Fawn,0.279,NA,NA,NA,NA,5,0DDE1
951ED,M,2019,2018,1,MFWS,0,0,1.073,Fawn,0.354,57.7,57.68,88.08,0.32234957,0DC56,0DD31
951ED,M,2020,2018,2,MFWS,0,0,1.208,Fawn,0.354,59.8,60.05,87.65,0.32234957,0DC56,0DD31
AA6C4,M,2020,2019,1,MFWS,2,1,0.67,Black,0.269,52.75,52.35,87.74,0.214899713,94AEC,84143
AA8AF,F,2019,2018,1,MFWS,0,0,NA,Fawn,0.303,NA,NA,NA,NA,6,5
AA8AF,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.303,NA,NA,NA,NA,6,5
AA8B8,M,2020,2019,1,MFWS,0,0,NA,Black,0.303,NA,NA,NA,NA,0DF4C,7C5C5
